"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 15:06:18 GMT 2023","Wed Apr 05 15:06:18 GMT 2023","415","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testOutOfRangePageValue","Test out of range page value",""
"passed","Wed Apr 05 15:06:20 GMT 2023","Wed Apr 05 15:06:20 GMT 2023","794","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testMaxPerPageValue","Test max per page value",""
"passed","Wed Apr 05 15:06:08 GMT 2023","Wed Apr 05 15:06:09 GMT 2023","985","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidStatus","Test search with invalid status",""
"passed","Wed Apr 05 15:06:19 GMT 2023","Wed Apr 05 15:06:19 GMT 2023","413","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testNegativeOrInvalidValues","Test negative or invalid values",""
"passed","Wed Apr 05 15:06:22 GMT 2023","Wed Apr 05 15:06:23 GMT 2023","452","","Users Tests","","gorest.api.tests.PostsTests","createNewPost","Create new post",""
"passed","Wed Apr 05 15:06:14 GMT 2023","Wed Apr 05 15:06:14 GMT 2023","452","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidEmail","Test search with invalid email",""
"passed","Wed Apr 05 15:06:25 GMT 2023","Wed Apr 05 15:06:26 GMT 2023","909","","Users Tests","","gorest.api.tests.PostsTests","deleteCreatedPost","Delete new post",""
"passed","Wed Apr 05 15:06:24 GMT 2023","Wed Apr 05 15:06:25 GMT 2023","457","","Users Tests","","gorest.api.tests.PostsTests","updateCreatedPostPatch","Update created new post - PATCH",""
"passed","Wed Apr 05 15:06:16 GMT 2023","Wed Apr 05 15:06:16 GMT 2023","474","","Users Tests","","gorest.api.tests.UsersTests","updateCreatedUserPatch","Update created new user - PATCH",""
"passed","Wed Apr 05 15:06:19 GMT 2023","Wed Apr 05 15:06:20 GMT 2023","438","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testDefaultPaginationValues","Test default pagination values",""
"passed","Wed Apr 05 15:06:14 GMT 2023","Wed Apr 05 15:06:15 GMT 2023","534","","Users Tests","","gorest.api.tests.UsersTests","createNewUser","Create new user",""
"passed","Wed Apr 05 15:06:09 GMT 2023","Wed Apr 05 15:06:09 GMT 2023","450","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByMultipleFields","Test search by multiple fields",""
"passed","Wed Apr 05 15:06:10 GMT 2023","Wed Apr 05 15:06:11 GMT 2023","1052","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByFemaleGender","Test search by female gender",""
"passed","Wed Apr 05 15:06:23 GMT 2023","Wed Apr 05 15:06:23 GMT 2023","430","","Users Tests","","gorest.api.tests.PostsTests","getNewPost","Get new post",""
"passed","Wed Apr 05 15:06:13 GMT 2023","Wed Apr 05 15:06:14 GMT 2023","918","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByInActiveStatus","Test search by inactive status",""
"passed","Wed Apr 05 15:06:04 GMT 2023","Wed Apr 05 15:06:05 GMT 2023","1025","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchById","Test search by id",""
"passed","Wed Apr 05 15:06:18 GMT 2023","Wed Apr 05 15:06:18 GMT 2023","457","","Users Tests","","gorest.api.tests.UsersTests","createUserWithInvalidGender","Create user with invalid gender",""
"passed","Wed Apr 05 15:06:07 GMT 2023","Wed Apr 05 15:06:08 GMT 2023","928","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidId","Test search with invalid id",""
"passed","Wed Apr 05 15:06:03 GMT 2023","Wed Apr 05 15:06:04 GMT 2023","1072","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByMaleGender","Test search by male gender",""
"passed","Wed Apr 05 15:06:17 GMT 2023","Wed Apr 05 15:06:18 GMT 2023","454","","Users Tests","","gorest.api.tests.UsersTests","createUserWithInvalidEmail","Create user with invalid email",""
"passed","Wed Apr 05 15:06:12 GMT 2023","Wed Apr 05 15:06:13 GMT 2023","439","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByActiveStatus","Test search by active status",""
"passed","Wed Apr 05 15:06:20 GMT 2023","Wed Apr 05 15:06:21 GMT 2023","962","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testValidPaginationValues","Test valid pagination values",""
"passed","Wed Apr 05 15:06:06 GMT 2023","Wed Apr 05 15:06:07 GMT 2023","921","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidGender","Test search with invalid gender",""
"passed","Wed Apr 05 15:06:23 GMT 2023","Wed Apr 05 15:06:24 GMT 2023","959","","Users Tests","","gorest.api.tests.PostsTests","updateCreatedPost","Update created new post - PUT",""
"passed","Wed Apr 05 15:06:15 GMT 2023","Wed Apr 05 15:06:15 GMT 2023","482","","Users Tests","","gorest.api.tests.UsersTests","getNewUser","Get new user",""
"passed","Wed Apr 05 15:06:11 GMT 2023","Wed Apr 05 15:06:12 GMT 2023","1024","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithNonExistentValue","Test search with non-existent value",""
"passed","Wed Apr 05 15:06:17 GMT 2023","Wed Apr 05 15:06:17 GMT 2023","382","","Users Tests","","gorest.api.tests.UsersTests","getDeletedUser","Get deleted user",""
"passed","Wed Apr 05 15:06:15 GMT 2023","Wed Apr 05 15:06:16 GMT 2023","449","","Users Tests","","gorest.api.tests.UsersTests","updateCreatedUser","Update created new user - PUT",""
"passed","Wed Apr 05 15:06:26 GMT 2023","Wed Apr 05 15:06:26 GMT 2023","406","","Users Tests","","gorest.api.tests.PostsTests","getDeletedPost","Get deleted post",""
"passed","Wed Apr 05 15:06:16 GMT 2023","Wed Apr 05 15:06:17 GMT 2023","443","","Users Tests","","gorest.api.tests.UsersTests","deleteCreatedUser","Delete new user",""
"passed","Wed Apr 05 15:06:09 GMT 2023","Wed Apr 05 15:06:10 GMT 2023","1036","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByName","Test search by name",""
"passed","Wed Apr 05 15:06:18 GMT 2023","Wed Apr 05 15:06:19 GMT 2023","360","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testPaginationHeaders","Test pagination headers",""
"passed","Wed Apr 05 15:06:05 GMT 2023","Wed Apr 05 15:06:06 GMT 2023","992","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByEmail","Test search by email",""
